id;name;description;prep_time;cook_time;servings;image_url
1;Shoes Circle Louisiana;Niue;67818;97889;60821;invoice Orchestrator
2;Books Wooden Panama;Salad Metrics;91020;75385;28717;open Direct
3;Chips copy reboot;programming rich Street;35728;49368;26847;EXE Port
4;logistical Towels;regional embrace;57340;57188;67909;channels hard
5;Jewelery Loan;Ariary;4132;6708;50531;Movies Division
6;JBOD Indonesia;deposit Human Lane;32041;68444;87329;Solutions Rupee Baby
7;Saint;Lake;73099;73055;65177;Tokelau Decentralized Mission
8;Legacy;e-tailers generating Balanced;23385;71375;52793;Home Cross-platform
9;Senior Wooden Representative;Soft Awesome JBOD;70339;11935;91695;transmit Bacon navigate
10;Rhode;program azure morph;11583;34509;11659;monitor azure District
